TURN_ID,MANUAL PARAPHRASE,RAW PARAPHRASE
1_1,What is a physician assistant who works under a doctor?,What is a physician assistant who works under a doctor?
1_1,What is a medical assistant?,What is a medical assistant?
1_1,What does a physician assistant do?,What does a physician assistant do?
1_1,What are the duties of a physician assistant?,What are the duties of a physician assistant?
1_1,What is the main role of a physician assistant?,What is the main role of a physician assistant?
1_1,Can you explain what a physician assistant is?,Can you explain what a physician assistant is?
1_1,Can you define 'physician assistant'?,Can you define 'physician assistant'?
1_2,How should I study to become a physician assistant?,How should I study to become one?
1_2,What must one's educational background be to become a physician assistant?,What must one's educational background be to become one?
1_2,What educational qualifications do you need to become a physician assistant?,What educational qualifications do you need to become one?
1_2,What are the qualifications to become a doctor's assistant?,What are the qualifications?
1_2,Is there a specific course requirement for becoming a physician assistant?,Is there a specific course requirement for becoming one?
1_2,What educational requirements do I need to fulfill to become a physician assistant?,What educational requirements do I need to fulfill to become one?
1_2,What are the medical school requirements for becoming a physician assistant?,What are the medical school requirements?
1_2,What degree do I need to become a physician assistant?,What degree do I need to become one?
1_2,What are the training requirements for a physician assistant?,What are the training requirements for that position?
1_2,What educational requirements must be met to be a physician assistant?,What educational requirements must be met to be one?
1_3,How much does it cost to be a physician assistant?,How much does it cost to be one?
1_3,What is the cost of education for becoming a physician assistant (PA)?,What is the cost of education?
1_3,What does becoming a physician assistant cost?,What does becoming one cost?
1_3,What does it cost to be a doctor's assistant?,What does it cost to be one?
1_3,How much does physician assistant school cost?,How much does that school cost?
1_3,What is the price of physician assistant school?,What is the price of that school?
1_3,What are the fees for physician assistant studies?,What are the fees for that studies?
1_3,How much is the tuition for becoming a physician assistant (PA)?,How much is the tuition?
1_3,What is the average cost of education to get a physician assistant degree?,What is the average cost of education to get a degree?
1_4,What is the typical salary for a beginning physician assistant (PA) in the UK?,What is the typical salary for a beginning one in the UK?
1_4,How much does a UK physician assistant (PA) make starting out?,How much does a UK one make starting out?
1_4,What is the starting pay for physician assistants (PAs) in Britain?,What is the starting pay for physician assistants (PAs) in Britain?
1_4,What is the average pay in the UK for a beginning physician assistant?,What is the average pay in the UK for a beginning one?
1_4,How much do physician assistants make at the start of their careers in the UK?,How much do they make at the start of their careers in the UK?
1_4,Can you give me some information about the salary of a starting physician assistant in the UK?,Can you give me some information about the salary of a starting one in the UK?
1_4,How much is a physician assistant paid in Britain if he's just starting his career?,How much is one paid in Britain if he's just starting his career?
1_4,What is the pay for a newly graduated physician assistant in the UK?,What is the pay for a newly graduated one in the UK?
1_5,What about the typical salary for a beginning physician assistant (PA) in the US?,What about what's typical in the US?
1_5,How much does a US physician assistant (PA) make starting out?,How much does a US one make?
1_5,What is the starting pay for physician assistants (PAs) in America?,What is the starting pay in America?
1_5,What is the average pay in the US for a beginning physician assistant?,What is the average pay in the US?
1_5,How much do physician assistants make at the start of their careers in the US?,How much do one make in the US?
1_5,Can you give me some information about the salary of a starting physician assistant in the US?,Can you give me some information about the US?
1_5,How much is a physician assistant paid in America if he's just starting his career?,How much is one paid in America?
1_5,What is the pay for a newly graduated physician assistant in the US?,What is the pay in the US?
1_5,What is the average starting salary of a physician assistant in the US?,What is it in the US?
1_5,What's the average beginning salary of a physician assistant in the US?,What's the average in the US?
1_5,What is the average salary of a doctor's assistant in America?,What is it in America?
1_6,What degree do I need to become a registered nurse?,What degree do I need to become a registered nurse?
1_6,What are some important qualifications to become a registered nurse?,What are some important qualifications to become a registered nurse?
1_6,What subject do I need to study to become a registered nurse?,What subject do I need to study to become a registered nurse?
1_6,What common courses are required to get a registered nurse degree?,What common courses are required to get a registered nurse degree?
1_6,What subjects do I need to become a registered nurse?,What subjects do I need to become a registered nurse?
1_6,What subjects should I learn to become a registered nurse?,What subjects should I learn to become a registered nurse?
